Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::MESH:C562794	Vitamin D-Dependent Rickets, Type 2A	维生素D依赖性佝偻病，2A型
Disease::MESH:C562799	Folate Malabsorption, Hereditary	叶酸吸收不良，遗传性
Disease::MESH:C562801	3-Methylglutaconic Aciduria, Type I	3-甲基戊二酸，I型
Disease::MESH:C562812	Carnitine-Acylcarnitine Translocase Deficiency	肉碱酰肉碱转定位酶缺乏症
Disease::MESH:C562830	Patent Ductus Venosus	静脉导管未闭
Disease::MESH:C562831	Atrioventricular Septal Defect	房室间隔缺损
Disease::MESH:C562834	Aortic Aneurysm, Familial Thoracic 1	主动脉瘤，家族性胸廓1
Disease::MESH:C562839	nothing	不存在
Disease::MESH:C562840	Breast Cancer, Familial	乳腺癌，家族性
Disease::MESH:C562856	Cerebral Palsy, Ataxic, Autosomal Recessive	脑瘫、共济失调、常染色体隐性
Disease::MESH:C562858	Cholesteatoma, Congenital	胆脂瘤，先天性
Disease::MESH:C562864	Myeloperoxidase Deficiency	髓过氧化物酶缺乏症
Disease::MESH:C562873	Specific Granule Deficiency	特定颗粒缺乏
Disease::MESH:C562875	Complement Factor H Deficiency	补体因子H缺乏
Disease::MESH:C562876	Carboxypeptidase N Deficiency	羧肽酶N缺乏
Disease::MESH:C562880	Amelogenesis Imperfecta, Type III	发育不全，III型
Disease::MESH:C562903	Male Infertility with Large-Headed, Multiflagellar, Polyploid Spermatozoa	雄性不育伴大头、多鞭毛、多倍体精子
Disease::MESH:C562907	Twenty-Nail Dystrophy	二十指甲营养不良
Disease::MESH:C562924	Dowling-Degos Disease	Dowling-Degos病
Disease::MESH:C562934	Myopathy, Centronuclear, Autosomal Recessive	肌病，中央粒细胞，常染色体隐性
Disease::MESH:C562935	Myopathy with Abnormal Lipid Metabolism	脂代谢异常的肌病
Disease::MESH:C562937	Hypochondroplasia	软骨发育不良
Disease::MESH:C562938	Metachondromatosis	间软骨瘤病
Disease::MESH:C562942	Aortic Valve, Calcification of	主动脉瓣钙化
Disease::MESH:C562943	Choroid Plexus Carcinoma	脉络丛癌
Disease::MESH:C562966	Cranioectodermal Dysplasia	颅外胚层发育不良
Disease::MESH:C562978	Fibromatosis, Congenital Generalized	纤维瘤病，先天性全身性
Disease::MESH:C562992	Lung agenesis	肺发育不全
Disease::MESH:C563004	Pyropoikilocytosis, Hereditary	嗜热细胞增多症，遗传性
Disease::MESH:C563010	Neutrophilia, Hereditary	中性粒细胞，遗传性
Disease::MESH:C563020	Anal Canal Carcinoma	肛管癌
Disease::MESH:C563032	Preterm Premature Rupture of the Membranes	早产儿胎膜早破
Disease::MESH:C563043	Kleefstra Syndrome	Kleefstra综合征
Disease::MESH:C563094	Mucopolysaccharidosis Type VIII	粘多糖病VIII型
Disease::MESH:C563110	Proud Syndrome	骄傲综合征
Disease::MESH:C563120	Scott Syndrome	斯科特综合征
Disease::MESH:C563177	Glucocorticoid-Remediable Aldosteronism	糖皮质激素可治疗醛固酮增多症
Disease::MESH:C563178	nothing	不存在
Disease::MESH:C563181	Histiocytoma, Angiomatoid Fibrous	组织细胞瘤，血管瘤样纤维瘤
Disease::MESH:C563184	Glaucoma-Related Pigment Dispersion Syndrome	青光眼相关色素分散综合征
Disease::MESH:C563187	Acrocephalopolysyndactyly Type II	头端多指畸形II型
Disease::MESH:C563192	Epidermolysis Bullosa Pruriginosa	原发性大疱性表皮松解症
Disease::MESH:C563195	Chondrosarcoma, Extraskeletal Myxoid	软骨肉瘤，骨外粘液瘤
Disease::MESH:C563207	Transaldolase Deficiency	转醛酶缺乏
Disease::MESH:C563209	Hyaluronidase Deficiency	透明质酸酶缺乏
Disease::MESH:C563210	Beta-Ureidopropionase Deficiency	β-尿苷丙酸酶缺乏症
Disease::MESH:C563233	Myelocerebellar Disorder	脊髓小脑疾病
Disease::MESH:C563236	Testicular Germ Cell Tumor	睾丸生殖细胞瘤
Disease::MESH:C563237	Cystic Disease Of Lung	肺囊性疾病
Disease::MESH:C563240	nothing	不存在
Disease::MESH:C563242	Intrinsic Factor Deficiency	内在因素缺陷
Disease::MESH:C563250	Salivary Gland Adenoma, Pleomorphic	涎腺腺瘤，多形性
Disease::MESH:C563255	Microspherophakia	微球虫
Disease::MESH:C563256	Corneal Dystrophy, Fleck	角膜营养不良，弗莱克
Disease::MESH:C563261	Renal Adysplasia	肾发育不良
Disease::MESH:C563262	Corneal Dystrophy, Central Type	角膜营养不良，中央型
Disease::MESH:C563268	Ectopia Lentis with Ectopia of Pupil	带瞳孔异位的异位扁豆
Disease::MESH:C563270	Macular Corneal Dystrophy, Type II	黄斑角膜营养不良，II型
Disease::MESH:C563273	Hyperparathyroidism 2	甲状旁腺功能亢进2
Disease::MESH:C563277	Papillary Thyroid Microcarcinoma	乳头状甲状腺微癌
Disease::MESH:C563319	Myopathy, Myofibrillar, Desmin-Related	肌病，肌原纤维性，Desmin相关
Disease::MESH:C563324	Platelet Disorder, Familial, with Associated Myeloid Malignancy	血小板疾病，家族性，与髓系恶性肿瘤相关
Disease::MESH:C563365	Polyposis Syndrome, Hereditary Mixed, 1	息肉病综合征，遗传性混合，1
Disease::MESH:C563401	Choreoathetosis-Spasticity, Episodic	脉络膜痉挛，发作性
Disease::MESH:C563405	Migraine, Sporadic Hemiplegic	偏头痛，偶发性偏瘫
Disease::MESH:C563412	Juvenile Polyposis with Hereditary Hemorrhagic Telangiectasia	幼年性息肉病伴遗传性出血性毛细血管扩张
Disease::MESH:C563422	Palmoplantar Keratoderma, Nonepidermolytic	掌跖角质瘤，非表皮松解性
Disease::MESH:C563425	Diabetes Mellitus, Permanent Neonatal	糖尿病，永久性新生儿
Disease::MESH:C563448	Orofacial Cleft 3	口腔面部裂3
Disease::MESH:C563468	Cleft Lip, Congenital Healed	唇裂，先天性愈合
Disease::MESH:C563476	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal Dementia	包涵体肌病伴早期发作的Paget病和额颞叶痴呆
Disease::MESH:C563477	Nephrolithiasis, Calcium Oxalate	肾结石，草酸钙
Disease::MESH:C563479	Ovalocytosis, Hereditary Hemolytic, with Defective Erythropoiesis	卵细胞增多症，遗传性溶血性，伴红细胞生成缺陷
Disease::MESH:C563513	Sick Sinus Syndrome 2, Autosomal Dominant	病态窦房结综合征2，常染色体显性
Disease::MESH:C563514	Hypertension Resistant to Conventional Therapy	高血压对常规治疗的抵抗力
Disease::MESH:C563515	Neutrophil Chemotactic Response, Abnormal	中性粒细胞趋化反应，异常
Disease::MESH:C563519	Ganglioneuromatosis of the Alimentary Tract	消化道神经节细胞瘤病
Disease::MESH:C563523	Neurofibromatosis, Familial Spinal	神经纤维瘤病，家族性脊柱
Disease::MESH:C563534	Narcolepsy 1	嗜睡症1
Disease::MESH:C563544	nothing	不存在
Disease::MESH:C563551	Myeloproliferative Syndrome, Transient	骨髓增生综合征，短暂性
Disease::MESH:C563557	Facioscapulohumeral Muscular Dystrophy 1B	相肩肱肌营养不良1B
Disease::MESH:C563573	Mitral Valve Prolapse, Myxomatous 1	二尖瓣脱垂，粘液瘤1
Disease::MESH:C563598	Median-Ulnar Nerve Communications	正中尺神经通讯
Disease::MESH:C563601	Mannose 6-Phosphate Receptor Recognition Defect, Lebanese Type	甘露糖6-磷酸受体识别缺陷，黎巴嫩型
Disease::MESH:C563602	Mannose-Binding Protein Deficiency	甘露糖结合蛋白缺乏
Disease::MESH:C563613	Lumbar Stenosis, Familial	腰椎狭窄，家族性
Disease::MESH:C563663	Immunodeficiency due to Defect in MAPBP-Interacting Protein	MAPBP相互作用蛋白缺陷导致的免疫缺陷
Disease::MESH:C563669	Deafness, Autosomal Recessive 68	耳聋，常染色体隐性68
Disease::MESH:C563673	Diarrhea 4, Malabsorptive, Congenital	腹泻4，吸收不良，先天性
Disease::MESH:C563714	nothing	不存在
Disease::MESH:C563721	Syndactyly, Mesoaxial Synostotic, with Phalangeal Reduction	合指，中轴滑膜炎，指间复位
Disease::MESH:C563733	Carotid Intimal Medial Thickness 1	颈动脉内膜中层厚度1
Disease::MESH:C563738	Rhabdoid Tumor Predisposition Syndrome 1	横纹肌瘤易发综合征1
Disease::MESH:C563740	Charcot-Marie-Tooth Disease, Type 4H	Charcot-Marie Tooth病，4H型
Disease::MESH:C563786	Hyperthyroidism, Nonautoimmune	甲状腺机能亢进，非自身免疫性
Disease::MESH:C563801	Fanconi Anemia, Complementation Group J	范科尼贫血，补体组J
Disease::MESH:C563821	nothing	不存在
Disease::MESH:C563855	Leukodystrophy, Hypomyelinating, 2	白质营养不良，髓鞘形成不足，2
Disease::MESH:C563867	Insulin-Like Growth Factor I Deficiency	胰岛素样生长因子I缺乏
Disease::MESH:C563895	Amyotrophic Lateral Sclerosis 8	肌萎缩侧索硬化症8
Disease::MESH:C563897	Hypertension, Diastolic, Resistance to	高血压，舒张，抵抗
Disease::MESH:C563906	Cardiomyopathy, Dilated, 1o	扩张型心肌病，1o
Disease::MESH:C563907	Sick Sinus Syndrome 1, Autosomal Recessive	病态窦房结综合征1，常染色体隐性
Disease::MESH:C563918	Erythrocytosis, Familial, 2	红细胞增多症，家族性，2
Disease::MESH:C563924	Colorectal Adenomatous Polyposis, Autosomal Recessive	结肠直肠腺瘤性息肉病，常染色体隐性
Disease::MESH:C563928	Speech-Sound Disorder, hereditary	语音障碍，遗传性
Disease::MESH:C563939	Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction	先天性巨结肠病、心脏缺陷和自主功能障碍
Disease::MESH:C563952	Succinic Acidemia	琥珀酸血症
Disease::MESH:C563983	Nanophthalmos 1	纳米眼球1
Disease::MESH:C563984	Atrial Standstill	心房静止
Disease::MESH:C563985	Melanoma-Pancreatic Cancer Syndrome	黑色素瘤胰腺癌综合征
Disease::MESH:C564004	Macrocytosis, Familial	大细胞增多症，家族性
Disease::MESH:C564049	Thyroxine-Binding Globulin Deficiency	甲状腺素结合球蛋白缺乏症
Disease::MESH:C564052	Thrombocytopenia 1	血小板减少症1
Disease::MESH:C564063	Rett Syndrome, Preserved Speech Variant	Rett综合征，保留语音变体
Disease::MESH:C564108	Major Affective Disorder 2	重大情感障碍2
Disease::MESH:C564133	Ige Responsiveness, Atopic	Ige反应性，特应性
Disease::MESH:C564143	Hypotrichosis Simplex of Scalp	头皮单纯性少毛症
Disease::MESH:C564145	Hypophosphatemic Bone Disease	低磷血症性骨病
Disease::MESH:C564159	Hyperproglucagonemia	高孕激素血症
Disease::MESH:C564174	Orthostatic Hypotensive Disorder, Streeten Type	直立性低血压障碍，街头型
Disease::MESH:C564185	Hip Dysplasia, Beukes Type	髋关节发育不良，Beukes型
Disease::MESH:C564190	Hepatic Adenomas, Familial	肝腺瘤，家族性
Disease::MESH:C564219	Maturity-Onset Diabetes of the Young, Type 2	年轻人2型成熟期糖尿病
Disease::MESH:C564221	Glucocorticoid Receptor Deficiency	糖皮质激素受体缺乏
Disease::MESH:C564230	Glioma of Brain, Familial	家族性脑胶质瘤
Disease::MESH:C564245	Platelet Glycoprotein IV Deficiency	血小板糖蛋白IV缺乏
Disease::MESH:C564253	Myopathy, Myosin Storage	肌病，肌球蛋白储存
Disease::MESH:C564254	Capillary Malformation-Arteriovenous Malformation	毛细血管畸形动静脉畸形
Disease::MESH:C564275	Neutrophil Immunodeficiency Syndrome	中性粒细胞免疫缺陷综合征
Disease::MESH:C564276	Tropical Calcific Pancreatitis	热带钙化性胰腺炎
Disease::MESH:C564286	Zinc Deficiency, Neonatal, due to Low Breast Milk Zinc	母乳锌含量低导致新生儿缺锌
Disease::MESH:C564320	Neutropenia, Nonimmune Chronic Idiopathic, Adult	中性粒细胞减少，非免疫性慢性特发性，成人
Disease::MESH:C564321	Aural Atresia, Congenital	先天性耳闭锁
Disease::MESH:C564323	nothing	不存在
Disease::MESH:C564327	Hypotrichosis-Lymphedema-Telangiectasia Syndrome	少毛症淋巴水肿毛细血管扩张综合征
Disease::MESH:C564365	Ichthyosis, Leukocyte Vacuoles, Alopecia, And Sclerosing Cholangitis	鱼鳞病、白细胞空泡、脱发和硬化性胆管炎
Disease::MESH:C564384	Toenail Dystrophy, Isolated	Toenail营养不良，孤立
Disease::MESH:C564391	Newfoundland Rod-Cone Dystrophy	纽芬兰棒锥营养不良
Disease::MESH:C564392	Bothnia Retinal Dystrophy	波氏肌视网膜营养不良
Disease::MESH:C564393	Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, Type 2	维生素K依赖性凝血因子，综合缺乏，2型
Disease::MESH:C564403	Coenzyme Q10 Deficiency	辅酶Q10缺乏症
Disease::MESH:C564417	nothing	不存在
Disease::MESH:C564422	Glutamyl Ribose-5-Phosphate Storage Disease	谷氨酰核糖-5-磷酸储存病
Disease::MESH:C564433	Deafness, X-Linked 1	耳聋，X-连锁1
Disease::MESH:C564439	Cone Dystrophy, X-Linked, 1	锥体营养不良，X-连锁，1
Disease::MESH:C564461	Pigmentary Disorder, Reticulate, with Systemic Manifestations	色素紊乱，网状，有系统表现
Disease::MESH:C564479	Short Stature, Idiopathic, X-Linked	矮身材，特发性，X-连锁
Disease::MESH:C564481	Chromosome Xp11.3 Deletion Syndrome	染色体Xp11.3缺失综合征
Disease::MESH:C564484	Holoprosencephaly, Ectrodactyly, and Bilateral Cleft Lip-Palate	全头畸形、趾外畸形和双侧唇腭裂
Disease::MESH:C564485	Glycogen Storage Disease, Type IXD	糖原贮积病，IXD型
Disease::MESH:C564487	Dent Disease 2	牙本质病2
Disease::MESH:C564491	Nephrogenic Syndrome of Inappropriate Antidiuresis	不当利尿肾病综合征
Disease::MESH:C564523	Radial Ray Deficiency, X-Linked	射线缺陷，X射线连接
Disease::MESH:C564525	Dyserythropoietic Anemia with Thrombocytopenia	红细胞生成障碍性贫血伴血小板减少
Disease::MESH:C564543	Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, And Genital Anomalies	宫内生长迟缓、垂体发育不良、肾上腺发育不良和生殖器异常
Disease::MESH:C564546	Goiter, Multinodular 2	甲状腺肿，多结节2
Disease::MESH:C564554	Terminal Osseous Dysplasia and Pigmentary Defects	终末骨发育不良和色素缺陷
Disease::MESH:C564570	Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis	Alport综合征、智力低下、面部发育不良和白细胞增多症
Disease::MESH:C564577	Glucocorticoid Deficiency 2	糖皮质激素缺乏症2
Disease::MESH:C564578	Bartter Syndrome, Type 3, with Hypocalciuria	Bartter综合征，3型，伴有低钙尿
Disease::MESH:C564589	Smith-McCort Dysplasia	史密斯-麦考特发育不良
Disease::MESH:C564591	Cholesteryl Ester Transfer Protein Deficiency	胆固醇酯转移蛋白缺乏症
Disease::MESH:C564593	Gaze Palsy, Familial Horizontal, with Progressive Scoliosis	凝视性麻痹，家族性水平，伴进行性脊柱侧弯
Disease::MESH:C564595	nothing	不存在
Disease::MESH:C564596	Cataract, Nuclear Progressive	白内障，核进展性
Disease::MESH:C564600	Hypercalciuria, Absorptive, 1	高钙尿症，吸收型，1
Disease::MESH:C564609	Deafness, Autosomal Recessive	耳聋，常染色体隐性
Disease::MESH:C564612	Muscular Dystrophy, Limb-Girdle, Type 2I	肌肉营养不良，四肢围带，2I型
Disease::MESH:C564645	Albinism, Oculocutaneous, Type I, Temperature-Sensitive	白化病，眼部皮肤，I型，温度敏感
Disease::MESH:C564650	Carney-Stratakis Syndrome	卡尼·斯特拉塔基斯综合征
Disease::MESH:C564652	Polymicrogyria, Bilateral Frontoparietal	多发性小胶质瘤，双侧额顶
Disease::MESH:C564653	Parkinson Disease 10	帕金森病10
Disease::MESH:C564658	Peripheral Arterial Occlusive Disease 1	外周动脉闭塞性疾病1
Disease::MESH:C564665	Azoospermia, Nonobstructive	无精子症，非梗阻性
Disease::MESH:C564683	Hypermethioninemia	高蛋氨酸血症
Disease::MESH:C564696	Oculocutaneous Albinism, Type IV	眼部皮肤白化病，IV型
Disease::MESH:C564697	Episodic Ataxia, Type 3	发作性共济失调，类型3
Disease::MESH:C564701	Homozygous 11p15-p14 Deletion Syndrome	纯合性11p15-p14缺失综合征
Disease::MESH:C564703	Charcot-Marie-Tooth Disease, Dominant Intermediate B	Charcot-Marie-Tothe病，显性中间型B
Disease::MESH:C564707	Persistent Polyclonal B-Cell Lymphocytosis	持续性多克隆B细胞淋巴细胞病
Disease::MESH:C564714	Spondyloepimetaphyseal Dysplasia, X-Linked	脊柱后干骺端发育不良，X-连锁
Disease::MESH:C564727	Deafness, X-Linked 3	耳聋，X-连锁3
Disease::MESH:C564735	Woolly Hair, Autosomal Recessive	长毛，常染色体隐性
Disease::MESH:C564741	Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1	维生素K依赖性凝血因子，综合缺乏，1
Disease::MESH:C564747	Methylmalonic Aciduria and Homocystinuria, CblF Type	甲基丙二酸血症和高胱氨酸尿症，CblF型
Disease::MESH:C564766	Thyroid Dyshormonogenesis 1	甲状腺激素异常1
Disease::MESH:C564777	Male Germ Cell Tumor	男性生殖细胞瘤
Disease::MESH:C564793	Subaortic Stenosis, Membranous	主动脉瓣下狭窄，膜性
Disease::MESH:C564797	Spondyloepiphyseal Dysplasia Tarda, Autosomal Recessive	Tarda型脊柱管关节发育不良，常染色体隐性
Disease::MESH:C564815	Spastic Ataxia	痉挛性共济失调
Disease::MESH:C564816	Insulin-Like Growth Factor I, Resistance To	胰岛素样生长因子I，抵抗
Disease::MESH:C564818	Peeling Skin Syndrome	脱皮综合征
Disease::MESH:C564835	Enhanced S-Cone Syndrome	增强型S-Cone综合征
Disease::MESH:C564858	Pyruvate Kinase Deficiency of Red Cells	红细胞丙酮酸激酶缺乏症
Disease::MESH:C564871	Progesterone Resistance	孕激素抵抗
Disease::MESH:C564874	Popliteal Pterygium Syndrome, Lethal Type	杨树翼状胬肉综合征，致死型
Disease::MESH:C564876	Polyhydramnios, Chronic Idiopathic	羊水过多，慢性特发性
Disease::MESH:C564877	Polysaccharide, Storage of Unusual	多糖，储存异常
Disease::MESH:C564878	Polyglucosan Body Disease, Adult Form	多糖体病，成人型
Disease::MESH:C564908	Pancreatic Agenesis, Congenital	胰腺发育不全，先天性
Disease::MESH:C564935	Oculopalatocerebral Syndrome	眼腭脑综合征
Disease::MESH:C564945	Neuropathy, Painful	神经病变，疼痛
Disease::MESH:C564953	Ceroid Lipofuscinosis, Neuronal, 1	Ceroid脂褐症，神经元，1
Disease::MESH:C564967	Myotonia with Skeletal Abnormalities and Mental Retardation	伴有骨骼异常和智力低下的肌强直
Disease::MESH:C564971	Myopathy with Giant Abnormal Mitochondria	巨大异常线粒体肌病
Disease::MESH:C564972	Myopathy with Lactic Acidosis, Hereditary	遗传性乳酸性肌病
Disease::MESH:C564983	Muscular Dystrophy, Congenital, with Rapid Progression	肌肉营养不良，先天性，进展迅速
Disease::MESH:C564991	Gamma-A-Globulin, Defect in Assembly of	γ-A-球蛋白，组装缺陷
Disease::MESH:C564992	Fundus Dystrophy, Pseudoinflammatory, Of Sorsby	Sorsby眼底营养不良，假炎性
Disease::MESH:C565008	Focal Epithelial Hyperplasia of the Oral Mucosa	口腔粘膜局灶性上皮增生
Disease::MESH:C565009	Flood Factor Deficiency	洪水因子不足
Disease::MESH:C565027	Complement Factor D Deficiency	补体因子D缺乏
Disease::MESH:C565043	Arene Oxide Detoxification Defect	氧化芳烃脱毒缺陷
Disease::MESH:C565054	Myeloproliferative Disorder, Chronic, with Eosinophilia	骨髓增生性疾病，慢性，伴嗜酸性粒细胞增多症
Disease::MESH:C565079	Dyskeratosis Congenita, Autosomal Dominant	先天性角化不良，常染色体显性
Disease::MESH:C565111	Major Affective Disorder 1	主要情感障碍1
Disease::MESH:C565114	Failure of Tooth Eruption, Primary	牙齿爆裂失效，主要
Disease::MESH:C565121	Deafness, Autosomal Dominant 1	耳聋，常染色体显性1
Disease::MESH:C565128	Mitochondrial Complex III Deficiency	线粒体复合体III缺乏
Disease::MESH:C565141	Cryoglobulinemia, Familial Mixed	冷球蛋白血症，家族性混合
Disease::MESH:C565143	Creutzfeldt-Jakob Disease, Sporadic	Creutzfeldt-Jakob病，偶发性
Disease::MESH:C565145	Craniometaphyseal Dysplasia, Autosomal Dominant	颅垂体发育不良，常染色体显性
Disease::MESH:C565152	Corticosteroid-Binding Globulin Deficiency	皮质类固醇结合球蛋白缺乏症
Disease::MESH:C565192	Neutral Lipid Storage Disease with Myopathy	中性脂质储存病伴肌病
Disease::MESH:C565209	Sclerocornea	硬核角膜
Disease::MESH:C565217	Seborrhea-Like Dermatitis with Psoriasiform Elements	带有银屑病成分的脂溢样皮炎
Disease::MESH:C565222	Vasculitis, Lymphocytic, Cutaneous Small Vessel	血管炎，淋巴细胞性，皮肤小血管
Disease::MESH:C565230	Aortic Aneurysm, Familial Abdominal 1	主动脉瘤，家族性腹部1
Disease::MESH:C565232	Interleukin 2 Receptor, Alpha, Deficiency of	白细胞介素2受体α
Disease::MESH:C565255	Genitopatellar Syndrome	生殖器肺综合征
Disease::MESH:C565277	Cardiomyopathy, Dilated, with Left Ventricular Noncompaction	扩张型心肌病，伴有左心室不闭塞
Disease::MESH:C565284	Basaloid Follicular Hamartoma Syndrome, Generalized, Autosomal Dominant	基底卵泡错构瘤综合征，全身性，常染色体显性
Disease::MESH:C565292	Dermatitis, Atopic, 3	皮炎，特应性，3
Disease::MESH:C565304	Multiple Mitochondrial Dysfunctions Syndrome	多发性线粒体功能障碍综合征
Disease::MESH:C565310	Thyroid Carcinoma, Papillary, With Papillary Renal Neoplasia	甲状腺癌，乳头状，伴乳头状肾肿瘤
Disease::MESH:C565335	Paragangliomas 3	副神经节瘤3
Disease::MESH:C565336	Breast Cancer 3	乳腺癌3
Disease::MESH:C565346	Tuberous Sclerosis 1	结节性硬化症1
Disease::MESH:C565367	Mucolipidosis III Gamma	粘脂病IIIγ
Disease::MESH:C565384	Microcephaly, Primary Autosomal Recessive, 1	小头畸形，原发性常染色体隐性，1
Disease::MESH:C565390	Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency	甲基丙二酰CoA突变酶缺乏导致的甲基丙二酸血症
Disease::MESH:C565427	Lymphopenic Hypergammaglobulinemia, Antibody Deficiency, Autoimmune Hemolytic Anemia, and Glomerulonephritis	淋巴开放性高丙种球蛋白血症、抗体缺乏、自身免疫性溶血性贫血和肾小球肾炎
Disease::MESH:C565433	Lymphoblastic Transformation, Inhibition of	淋巴母细胞转化，抑制
Disease::MESH:C565446	Lactic Aciduria due to D-Lactic Acid	D-乳酸引起的乳酸
Disease::MESH:C565455	Keratoconus Posticus Circumscriptus with Associated Malformations	带相关畸形的后角畸形
Disease::MESH:C565469	Immune Deficiency Disease	免疫缺陷病
Disease::MESH:C565476	Hypoproteinemia, Hypercatabolic	低蛋白血症，高分解代谢
Disease::MESH:C565498	Hypermetabolism due to Defect in Mitochondria	线粒体缺陷导致的高代谢
Disease::MESH:C565524	Hemihyperplasia, Isolated	半增生，孤立
Disease::MESH:C565529	Growth Factors, Combined Defect of	生长因子，综合缺陷
Disease::MESH:C565530	Grouped Pigmentation of the Macula	黄斑色素沉着
Disease::MESH:C565532	Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type I	肉芽肿性疾病，慢性，常染色体隐性，细胞色素B阳性，I型
Disease::MESH:C565534	Granulomatous Disease with Defect in Neutrophil Chemotaxis	肉芽肿性疾病伴中性粒细胞趋化缺陷
Disease::MESH:C565547	Glaucoma 3, Primary Congenital, A	青光眼3，原发性先天性，A
Disease::MESH:C565561	Friedreich Ataxia 1	Friedreich共济失调1
Disease::MESH:C565593	Encephaloclastic Proliferative Vasculopathy	破脑增生性血管病
Disease::MESH:C565606	Ectodermal Dysplasia and Neurosensory Deafness	外胚层发育不良与神经感觉性耳聋
Disease::MESH:C565627	Trichohepatoenteric Syndrome	毛肝肠综合征
Disease::MESH:C565634	nothing	不存在
Disease::MESH:C565652	Cystinuria, Type A	蛋白尿，A型
Disease::MESH:C565655	Cystinosis, Infantile Nephropathic	囊虫病，婴儿肾病
Disease::MESH:C565659	Cysteine Peptiduria	半胱氨酸肽尿
Disease::MESH:C565662	Acth-Independent Macronodular Adrenal Hyperplasia	实际独立性大结节性肾上腺增生
Disease::MESH:C565666	Craniosynostosis with Anomalies of the Cranial Base and Digits	伴有颅底和手指异常的颅咽闭锁症
Disease::MESH:C565697	Leber Congenital Amaurosis 12	Leber先天性黑蒙12
Disease::MESH:C565705	Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism	新生儿糖尿病伴先天性甲状腺功能减退
Disease::MESH:C565706	3-Methylglutaconic Aciduria, Type V	V型3-甲基戊二酸
Disease::MESH:C565711	Kyphoscoliosis 1	脊柱后凸症1
Disease::MESH:C565730	Diabetes Mellitus, Congenital Autoimmune	糖尿病，先天性自身免疫
Disease::MESH:C565732	Hypobetalipoproteinemia, Familial, 2	低β脂蛋白血症，家族性，2
Disease::MESH:C565742	Hyaluronan Metabolism, Defect in	透明质酸代谢，缺陷
Disease::MESH:C565753	Craniosynostosis, Type 2	颅咽骨质疏松症，2型
Disease::MESH:C565773	Polyneuropathy, Lethal Neonatal, Axonal Sensorimotor, Autosomal Recessive	多发性神经病，致命新生儿，轴突感觉运动，常染色体隐性
Disease::MESH:C565779	Ataxia Telangiectasia Like Disorder	共济失调毛细血管扩张样障碍
Disease::MESH:C565784	Cardioencephalomyopathy, Fatal Infantile, due to Cytochrome C Oxidase Deficiency	细胞色素C氧化酶缺乏引起的致命婴儿心脑肌病
Disease::MESH:C565785	Epilepsy, Partial, with Variable Foci	部分性癫痫，伴有可变病灶
Disease::MESH:C565798	Rheumatoid Arthritis, Systemic Juvenile	类风湿性关节炎，系统性幼年
Disease::MESH:C565803	Carney Triad	卡尼三合会
Disease::MESH:C565805	Short Stature, Idiopathic, Autosomal	矮小，特发性，常染色体
Disease::MESH:C565808	Generalized Epilepsy with Febrile Seizures Plus	全身性癫痫伴热性发作+
Disease::MESH:C565809	Generalized Epilepsy With Febrile Seizures Plus, Type 1	全身性癫痫伴热性发作加1型
Disease::MESH:C565820	Poikiloderma with Neutropenia	嗜中性粒细胞减少症
Disease::MESH:C565834	Beta Thalassemia, Dominant Inclusion Body Type	β地中海贫血，显性包涵体类型
Disease::MESH:C565836	Vanishing White Matter Leukodystrophy with Ovarian Failure	消失性白质白质营养不良伴卵巢功能衰竭
Disease::MESH:C565846	Copper Toxicosis, Idiopathic	铜中毒，特发性
Disease::MESH:C565850	Chorioretinal Dystrophy, Spinocerebellar Ataxia, and Hypogonadotropic Hypogonadism	脉络膜视网膜营养不良、脊髓小脑共济失调和性腺功能低下
Disease::MESH:C565870	Cerebellar Ataxia and Hypogonadotropic Hypogonadism	小脑共济失调与性腺功能减退
Disease::MESH:C565898	Microcephalic Osteodysplastic Primordial Dwarfism, Type II	小头畸形骨发育异常原始侏儒症，II型
Disease::MESH:C565924	Atrichia with Papular Lesions	心房炎伴丘疹性病变
Disease::MESH:C565935	Asthma, Nasal Polyps, And Aspirin Intolerance	哮喘、鼻息肉和阿司匹林不耐受
Disease::MESH:C565942	Arterial Tortuosity Syndrome	动脉扭转综合征
Disease::MESH:C565957	Amyotrophic Lateral Sclerosis 2, Juvenile	肌萎缩侧索硬化症2，幼年
Disease::MESH:C565972	Adrenocortical Carcinoma, Hereditary	肾上腺皮质癌，遗传性
Disease::MESH:C565974	Familial Glucocorticoid Deficiency 1	家族性糖皮质激素缺乏症1
Disease::MESH:C566007	Vasculopathy, Retinal, With Cerebral Leukodystrophy	血管病，视网膜，伴脑白质营养不良
Disease::MESH:C566014	Undritz Anomaly	Undritz异常
Disease::MESH:C566019	Tune Deafness	调谐耳聋
